	cherry1	cherry2	gallium1	gallium2
Mca00001	5945	8854	10377	13522
Mca00002	364	644	746	911
Mca00003	14	32	17	25
Mca00004	1504	2022	1658	1902
Mca00005	0	0	1	2
Mca00006	10	7	11	13
Mca00007	5	19	24	10
Mca00008	0	0	3	5
Mca00009	5	3	9	20
Mca00010	0	0	1	3
Mca00011	29	53	157	173
Mca00012	1	1	2	3
Mca00013	0	1	3	3
Mca00014	0	0	0	0
Mca00015	8	19	41	41
Mca00016	0	5	1	2
Mca00017	0	5	1	2
Mca00018	2	15	7	9
Mca00019	0	0	2	2
Mca00020	0	0	0	0
Mca00021	55	97	121	117
Mca00022	975	1499	1404	1574
Mca00023	154	174	97	145
Mca00024	18	48	124	84
Mca00025	122	194	239	305
Mca00026	4360	5316	4594	5287
Mca00027	802	1121	1065	1231
Mca00028	1187	1578	1266	1473
Mca00029	1014	1197	1421	2025
Mca00030	783	1070	862	1173
Mca00031	12	51	16	25
Mca00032	722	1093	1080	1310
Mca00033	0	5	0	0
Mca00034	548	999	830	969
Mca00035	0	8	5	4
Mca00036	2	4	0	4
Mca00037	4	4	0	2
Mca00038	92	136	114	100
Mca00039	64	95	73	66
Mca00040	0	0	0	0
Mca00041	0	0	0	0
Mca00042	0	0	0	0
Mca00043	0	0	0	0
Mca00044	0	0	0	0
Mca00045	0	1	0	2
Mca00046	0	1	2	5
Mca00047	2	3	0	2
Mca00048	10	17	15	20
Mca00049	89	165	151	182
Mca00050	0	8	17	9
Mca00051	91	163	167	193
Mca00052	721	1019	891	995
Mca00053	1376	1809	2516	3453
Mca00054	1	1	0	0
Mca00055	1	1	0	0
Mca00056	9026	12072	7966	9825
Mca00057	1399	1793	1097	1307
Mca00058	0	0	0	1
Mca00059	0	0	0	1
Mca00060	0	0	0	2
Mca00061	0	0	0	2
Mca00062	0	0	0	2
Mca00063	0	4	0	2
Mca00064	0	0	0	2
Mca00065	0	0	1	2
Mca00066	373	515	645	596
Mca00067	0	0	1	0
Mca00068	6	0	19	14
Mca00069	0	0	0	0
Mca00070	0	0	0	0
Mca00071	3377	4053	2945	3483
Mca00072	599	768	643	883
Mca00073	0	2	4	0
Mca00074	39	44	90	117
Mca00075	1	1	12	12
Mca00076	2249	3747	3127	3301
Mca00077	36	70	62	62
Mca00078	0	0	0	0
Mca00079	124	185	270	280
Mca00080	1216	1604	1316	1542
Mca00081	0	1	0	6
Mca00082	0	2	0	0
Mca00083	337	590	840	1087
Mca00084	6437	7587	6201	6815
Mca00085	312	440	453	537
Mca00086	62	107	44	54
Mca00087	8	13	7	6
Mca00088	142	268	176	222
Mca00089	301	608	316	441
Mca00090	2	0	0	0
Mca00091	0	0	0	0
Mca00092	0	0	0	0
Mca00093	8	5	7	7
Mca00094	0	0	0	0
Mca00095	0	0	0	2
Mca00096	0	0	0	0
Mca00097	5	5	4	8
Mca00098	6	5	4	8
Mca00099	7	20	10	13
Mca00100	3	10	5	6
Mca00101	3	10	5	8
Mca00102	4	10	11	6
Mca00103	30	53	64	94
Mca00104	9	15	8	23
Mca00105	5	6	4	12
Mca00106	5	6	4	12
Mca00107	0	0	4	2
Mca00108	184	284	417	529
Mca00109	322	344	304	378
Mca00110	192	258	481	548
Mca00111	3	0	3	1
Mca00112	2738	3522	1223	1000
Mca00113	101	211	280	364
Mca00114	2	6	4	4
Mca00115	2	6	6	6
Mca00116	3	5	2	5
Mca00117	1	5	4	1
Mca00118	8	8	11	17
Mca00119	520	758	2637	1644
Mca00120	142	177	372	523
Mca00121	24	18	30	74
Mca00122	17	18	39	63
Mca00123	35	54	112	145
Mca00124	174	273	476	573
Mca00125	407	644	1361	1729
Mca00126	2115	2359	2619	2987
Mca00127	0	0	0	1
Mca00128	2	7	121	81
Mca00129	59	51	410	266
Mca00130	1512	2062	2306	2755
Mca00131	161	286	217	308
Mca00132	734	961	877	1048
Mca00133	975	1204	1245	1559
Mca00134	956	1238	1645	2093
Mca00135	2005	2918	2586	2783
Mca00136	393	607	534	609
Mca00137	973	1323	1246	1232
Mca00138	5353	6587	5700	6100
Mca00139	0	0	0	0
Mca00140	0	1	0	1
Mca00141	895	1157	585	789
Mca00142	0	1	0	1
Mca00143	0	0	0	0
Mca00144	0	0	0	0
Mca00145	0	0	0	0
Mca00146	0	0	0	0
Mca00147	580	776	656	644
Mca00148	31915	41697	41378	44945
Mca00149	8872	14163	12666	13597
Mca00150	2	1	3	1
Mca00151	5	25	33	38
Mca00152	0	4	1	3
Mca00153	304	498	515	754
Mca00154	346	385	573	768
Mca00155	138	145	18	34
Mca00156	2843	3877	2083	2028
Mca00157	42	42	12	14
Mca00158	6	14	7	14
Mca00159	297	478	595	764
Mca00160	308	438	532	759
Mca00161	2	4	12	9
Mca00162	0	3	0	0
Mca00163	26	94	101	98
Mca00164	0	0	0	0
Mca00165	349	547	476	556
Mca00166	90	148	236	160
Mca00167	9	10	6	12
Mca00168	0	0	4	3
Mca00169	60	75	113	111
Mca00170	56	53	118	135
Mca00171	0	0	0	0
Mca00172	26	49	102	110
Mca00173	39	40	88	67
Mca00174	1	0	5	4
Mca00175	0	0	0	0
Mca00176	0	0	0	0
Mca00177	23	21	39	47
Mca00178	6	2	10	11
Mca00179	10	24	30	31
Mca00180	0	0	2	0
Mca00181	26	43	36	66
Mca00182	4	5	10	12
Mca00183	0	0	0	0
Mca00184	0	0	0	0
Mca00185	12	24	32	32
Mca00186	7	54	41	58
Mca00187	4	8	8	12
Mca00188	10	24	25	39
Mca00189	0	0	0	0
Mca00190	7	19	18	30
Mca00191	2	5	4	7
Mca00192	2	5	4	7
Mca00193	2	5	4	8
Mca00194	2	5	4	8
Mca00195	3	5	4	8
Mca00196	389	615	780	937
Mca00197	6594	7773	8280	12557
Mca00198	374	560	1103	1771
Mca00199	2321	3331	2370	2452
Mca00200	8	18	20	14
Mca00201	14	19	54	50
Mca00202	1954	2774	1604	1878
Mca00203	47	71	57	49
Mca00204	146	245	147	138
Mca00205	59	120	51	54
Mca00206	10	6	6	5
Mca00207	8	9	10	4
Mca00208	40	44	89	115
Mca00209	30	34	66	100
Mca00210	378	551	9	6
Mca00211	5	7	11	14
Mca00212	25	45	54	43
Mca00213	261	489	473	561
Mca00214	0	0	0	0
Mca00215	4	10	5	10
Mca00216	5	5	3	8
Mca00217	4	3	2	6
Mca00218	6	13	12	30
Mca00219	4	6	8	9
