# TR_COL	1
# GENE_COL	1
# EXP	Astrocyte	2
# EXP	Neuron	6
# EXP	OPC	8
# EXP	NFO	7
# EXP	MO	5
# EXP	Microglia	4
# EXP	Endothelial	3
# END
0610007C21Rik	44.7	34.1	70.9	57.6	53.6	88.4	63.3
0610007L01Rik	11	12	13.2	14	6.1	18.3	13.5
0610007P08Rik	7.2	2	4.5	6	2.9	0.4	4.7
0610007P14Rik	48.7	24.3	54.3	68	63.8	10.3	10.5
0610007P22Rik	8.1	13.2	9.3	10	8.8	6.7	6
0610009B22Rik	9.1	9.4	12.2	13.8	14.5	2.6	12
0610009D07Rik	18.9	24.5	38.9	39.8	30	13.1	32
0610009L18Rik	1.9	2.5	5.2	3.9	2.2	1.6	1.4
0610009O20Rik	16.4	10	21.8	14.7	11.6	26.3	17.7
0610010F05Rik	5.2	13	5	6.4	3.9	0.6	5.9
0610010K14Rik	10.9	20.8	25.9	15.8	14.6	50.2	46.5
0610010O12Rik	13.7	19.9	11.9	12	23.2	2.4	2.5
0610011F06Rik	5.1	8.8	12.5	6.4	7.6	4.3	9.4
0610011L14Rik	6.5	6.2	7.9	9.7	6.6	7.1	7.7
0610012G03Rik	7.8	13.9	17.2	14.7	15	22.4	17.5
0610030E20Rik	5.3	3.1	3.5	2.7	1	2.3	1.3
0610031J06Rik	26.4	10	33.6	23.9	29.6	138.8	79.7
0610037L13Rik	19.2	9.4	18.8	11.8	8.8	13	21.9
0610037P05Rik	16.5	20.6	30	26.9	21.3	8.8	21.5
0610040B10Rik	1.6	1.5	2.8	3.2	2.9	0.6	2.8
0610040J01Rik	13.9	1.3	33.3	6.9	4.4	46.1	0.1
0910001L09Rik	12.2	21.1	27.4	30.9	32.1	54.2	25.5
1110001A16Rik	2.6	4.8	5.8	4.6	3.5	9	10.2
1110001J03Rik	16.7	19.6	26.9	13.8	10.3	7.2	17.4
1110002B05Rik	29.4	23.8	53.8	55.7	58.1	19.9	117.8
1110003E01Rik	12.4	30.1	28.8	33.5	43	23.9	29.9
1110004E09Rik	5.8	9.6	12.2	7.2	4.5	2.7	11.7
1110004F10Rik	22.7	48.1	41.9	42	23.5	12.3	35.2
1110005A03Rik	4.8	4.9	7	6.6	6.4	4.3	5.7
1110007C09Rik	6.8	9	5.9	50.5	85.2	99.8	30.9
1110008F13Rik	43.5	35.1	43.4	39.2	38.4	50.8	53.5
1110008J03Rik	6.4	7.9	7.3	5.3	3.3	2.6	3.4
1110008L16Rik	2.8	1.6	2.2	2.2	0.9	0.8	4.6
1110008P14Rik	6.6	20.1	12.9	16.4	26	9.7	10.4
1110012D08Rik	29.3	4	15.4	12.6	9.4	11.7	20.8
1110012J17Rik	2.9	16.9	6.3	1.9	0.7	0.2	3.4
1110012L19Rik	4.8	5.7	6.2	5.9	6.2	2.8	11.2
1110014N23Rik	14.3	18.1	15.8	12.6	9.8	22.1	10.2
1110018G07Rik	15	13.3	18.9	18.8	12.8	8.3	5.4
1110018J18Rik	3.5	1.3	8.5	8	4.2	4.8	25.6
1110020G09Rik	28.8	6.4	9.9	5	3.7	1.8	4.9
1110021J02Rik	5.5	7.1	7	6.9	4.8	2.4	5.2
1110021L09Rik	11.8	5	10.5	2.8	0.4	1.7	2.4
1110028C15Rik	5.9	3.2	3.9	1.6	0.5	2.3	6.2
1110031I02Rik	6.7	4.5	8.8	5.9	6.7	5.1	8
1110032A03Rik	3.2	3.5	5.4	8.4	15	4.1	5.4
1110032F04Rik	3.6	1	2.2	0.4	0.2	0.1	0.1
1110034A24Rik	2.3	3.6	3.3	2.3	1.8	1.2	1.7
1110034B05Rik	8	5.9	8.4	4	2.3	0.8	3.6
1110034G24Rik	5.2	2.9	5.3	3	2.2	4.7	30.4
1110037F02Rik	7.1	4.7	6	4.1	1.1	2.1	10.7
1110038B12Rik	18.8	49.4	27.4	27	12.5	27.5	44.1
1110038D17Rik	6.4	3.2	3.8	3.3	2.6	6.2	5.1
1110038F14Rik	13.5	7.3	17.4	10.4	6.8	6.8	13.8
1110049F12Rik	9.1	24.1	24.2	22.5	34.6	25.2	12.6
1110051M20Rik	8.3	18.9	17.8	14.7	13.3	4.3	5.1
1110054M08Rik	6.1	1.3	3.2	0.6	0.4	2.3	3.7
1110054O05Rik	2	2.7	4.6	4.1	2.3	3.6	1.5
1110057K04Rik	11	9.1	21.3	35.4	42.9	11.4	6.6
1110058L19Rik	7	13.4	14.7	12.5	9.8	6.6	15.2
1110059E24Rik	9.4	6	9.8	5.3	4	3	15.5
1110059G10Rik	1.7	2	2.6	1.3	1.3	0.8	3.9
1110065P20Rik	17.3	28.1	27.3	30	44.7	13.6	24.6
1110067D22Rik	22.4	15.7	27.1	6.3	1.3	0.8	7
1190002F15Rik	1.7	0.7	5.3	0.5	0.2	0.5	2
1190002H23Rik	72.4	5.2	95	24.2	2.9	2.8	72.6
1190002N15Rik	4.9	20.2	9.9	12.3	4.8	1.3	2.4
1190005F20Rik	6.9	3	5.5	2.9	1.2	2.8	2.8
1190005I06Rik	3.3	2.6	1	1.5	3.7	1.3	0.3
1190007F08Rik	0.5	1.8	2	8.6	20.9	5.1	0.3
1190007I07Rik	1.3	1.1	2.1	0.8	1	1.7	3.1
1200009I06Rik	0.5	0.1	0.2	0.1	0.1	0.5	2.4
1200011I18Rik	2.7	5.9	3.5	3.2	1.7	1.8	5.6
1200011M11Rik	5	5.3	6	4.2	1.9	4.8	3.3
1200014J11Rik	4.3	3.2	4.5	2.5	1.1	5.8	5.8
1200016B10Rik	4.2	1.3	2.7	2	0.8	0.8	5.5
1300001I01Rik	22.1	9.4	8.3	5.7	3.4	11.4	3.6
1300002E11Rik	5.9	3.1	5.1	3.2	2.9	0.7	5.5
1300010F03Rik	15.5	3	7.4	5.2	2.3	1.8	7.3
1300014I06Rik	2.9	2.5	33.2	25.7	1.7	9	15.3
1300018I17Rik	9.6	15	12.9	8.7	6.1	19.4	3.8
1300018J18Rik	8.1	6.6	10.2	11.9	10.8	8.7	9.6
1500001M20Rik	2.6	4.2	4.2	2.1	1.4	2.7	5.2
1500002O20Rik	9	10.6	10.7	9.2	9.2	25.3	8.7
1500003O03Rik	17.7	21.4	22.3	21.6	19.3	13.8	28.6
1500009C09Rik	39	18.9	42.8	16.7	9.4	4.6	0.8
1500009L16Rik	2	29.9	5.9	1.2	0.9	0.4	0.9
1500010J02Rik	9.2	12.9	11.6	4.7	3.2	23.9	4.2
1500011B03Rik	12.6	45.5	19.5	31	41.8	5	11.5
1500011H22Rik	9.5	22.6	20.5	11.5	8	3	14.7
1500011K16Rik	8	7.9	16.3	11.1	12.5	15	16.4
1500012F01Rik	17.7	63.5	24.2	20.1	22.3	22.7	59.7
1500015A07Rik	2.7	6.1	4.7	3.7	4.4	3.2	1.6
1500015O10Rik	0.2	0.2	0.1	0.1	0.1	0.1	0.6
1500016L03Rik	0.1	19.6	0.1	0.1	0.1	0.1	0.1
1500031L02Rik	5.4	8.5	9.2	4.5	2.8	1.1	5.5
1500032L24Rik	40.6	60.1	82.3	108.4	128.9	68	92.3
1520402A15Rik	6	1.9	2.5	0.8	1	0.4	0.3
1600002K03Rik	3	1.8	4.6	3.8	3.6	8	2
1600012F09Rik	4.6	3.3	5.5	5	2.4	1.7	2.4
1600012H06Rik	12.6	8.2	8.5	8.1	7.9	4.5	6.4
1600014C10Rik	1.5	3.7	3.2	2.8	1.2	8	4.7
1600020E01Rik	11.1	6.8	7.8	4.6	3.5	4.9	8.9
1600021P15Rik	5.5	9.9	25.6	14.9	3.5	0.6	2.2
1600027N09Rik	5.9	4.6	5.9	5.1	1.5	3.8	5.5
1700001O22Rik	2.1	0.7	3.2	0.8	0.7	0.3	0.8
1700001P01Rik	0.1	0.2	0.1	3.2	3.2	0.1	0.3
1700003E16Rik	0.4	2.4	1.2	0.4	1.1	1.7	0.1
1700003F12Rik	0.5	0.3	0.3	0.1	0.1	5.9	0.2
1700003M07Rik	5.2	0.5	1.6	0.3	0.2	0.1	0.1
1700007K13Rik	2.3	0.4	0.2	0.1	0.2	0.1	0.3
1700012B15Rik	6	7.1	6.6	6.6	6.1	8.8	5.6
1700017B05Rik	3.6	0.9	3.8	0.9	0.5	73.6	7.7
1700019D03Rik	0.5	1	4.3	1.1	0.6	0.1	0.2
1700019E19Rik	6.6	3.5	6.8	11.5	10.5	1.3	11.6
1700019G17Rik	6.8	0.7	2.6	0.9	1	0.3	0.8
1700020I14Rik	13.9	25	13.7	9.8	6.4	2.8	22
1700020L24Rik	0.2	0.1	0.9	0.4	1.2	2.9	7.9
1700020O03Rik	4.6	5.6	6.4	7	5.8	8.6	4.4
1700021C14Rik	2.7	1.7	0.9	2	3.5	2.1	2.6
1700021F05Rik	6.6	7.9	6.8	4	3.6	2.3	3.2
1700021K19Rik	5.7	12.3	15.3	33.1	22.1	8.7	6
1700025G04Rik	3.6	4.3	14.3	5.9	1.6	0.5	0.3
1700025K23Rik	4.3	7	7.7	5.9	5.8	0.7	3
1700027L20Rik	98.4	2.2	13.8	0.3	4.1	3.9	0.1
1700029F09Rik	3.6	5	5.8	2.7	1.1	2.1	12.5
1700029G01Rik	1.3	0.6	0.2	0.1	0.1	0.8	3.3
1700029J07Rik	1.8	1.8	1	0.8	0.4	0.2	0.2
1700030K09Rik	3.4	1.8	3.5	2.6	1.3	1.3	2.1
1700034H14Rik	8.9	3.6	9.7	6.9	2.8	2.1	6.3
1700037H04Rik	5.6	20.1	13.8	9	5.8	10	4.4
1700040I03Rik	6.2	3	6.3	4.5	7.8	2.6	8.2
1700045I19Rik	6	2.7	2.6	0.6	0.1	0.1	0.1
1700047M11Rik	0.1	0.1	3.8	37.8	31.9	0.2	0.1
1700048O20Rik	1.4	2.4	2.4	1.4	0.2	0.2	0.7
1700052N19Rik	3.2	1.1	4.6	2.9	1.7	2.6	3.8
1700054N08Rik	0.5	5.8	2	1.2	1.1	0.5	1.2
1700066M21Rik	10.7	3	19.2	9.6	4	0.2	1.6
1700081L11Rik	15.8	18.8	14.7	10.8	2.5	8.8	11.4
1700084C01Rik	25.2	1.8	3	0.4	0.9	0.2	0.3
1700086L19Rik	8.4	29.4	92	24.2	4.3	0.3	0.3
1700088E04Rik	1.4	0.7	1.4	0.5	0.3	0.3	0.8
1700094D03Rik	3.9	1.4	1.7	1.4	0.5	0.8	1.5
1700096K18Rik	2	0.6	3.7	2.6	1.9	1.4	1.7
1700110I01Rik	0.1	0.1	0.4	0.1	0.1	3	0.1
1700112E06Rik	0.1	0.1	1.4	1.9	0.5	2	0.1
1700123O20Rik	8.8	9	10.8	10	8.2	6.3	20.3
1810006K21Rik	28.4	45.7	81	97.7	108.4	73	97.9
1810008A18Rik	4.1	8.4	7.7	9	7.4	8.1	4.3
1810009A15Rik	6.6	5.2	10.2	10.9	10.2	8.1	22.1
1810010H24Rik	7.4	2.1	11.9	2.3	0.5	3.3	0.2
1810011H11Rik	0.1	0.1	0.7	0.1	0.1	29.5	0.1
1810011O10Rik	7.5	3.2	1.4	0.1	0.1	10	40.4
1810012P15Rik	0.6	4.4	1.9	1.4	1.2	0.6	0.5
1810013D10Rik	14.5	6.8	19.2	18.5	21.9	11.3	10.4
1810013L24Rik	21.3	14.8	10	8.1	3.7	4.1	12.5
1810014B01Rik	2.5	0.6	4.4	1.9	0.6	0.9	1.3
1810014F10Rik	7.6	7	10.5	4.2	4.7	2.4	3.1
1810020D17Rik	13.4	9.9	16.5	24.5	35.7	6.2	11.5
1810022K09Rik	0.5	1.3	1	0.5	1	0.3	2.5
1810024B03Rik	2.4	0.7	2.5	3.2	2.8	4.1	3.7
1810026B05Rik	11.7	10.1	6.1	6.1	3.5	3.4	9.3
1810026J23Rik	13.3	26	21.3	20.4	11.7	10.1	11.5
1810027O10Rik	46.8	37.6	67.3	112.6	118.6	67.8	129.3
1810029B16Rik	3.6	4.2	4.4	6.6	5	1.3	3.4
1810030N24Rik	5.1	5.3	10.3	9.6	10.8	2	6.2
1810030O07Rik	5.7	4.9	8.1	5.5	2.3	6.1	6.6
1810031K17Rik	10.1	13.5	15.4	18.4	15.7	31.9	27.4
1810032O08Rik	7.5	8.7	5.5	6.2	2.4	10.7	8.9
1810035L17Rik	15.7	22.2	28.6	33.2	32	19.5	51.7
1810037I17Rik	22.9	11.8	33.4	60.3	88.4	14.9	76
1810041L15Rik	1.2	5.4	24.1	103.8	17.4	0.4	0.1
1810043G02Rik	5.6	8.6	5	2.6	2.2	9.8	5.7
1810043H04Rik	4.8	5.2	10.3	7.4	9.6	12.3	15.6
1810044D09Rik	2.1	1.2	1.5	3.2	5.3	1.6	2
1810046J19Rik	10.3	30.2	32.2	53.4	71.6	28.4	30.3
1810048J11Rik	4.9	5.8	5.3	3.8	2.1	1.1	1.6
1810055G02Rik	10.1	8.4	13.6	8.8	6.4	3.4	0.7
1810058I24Rik	15.8	13	30.6	47.8	64.4	25.4	33.5
1810063B05Rik	4.9	6.2	11.6	8.5	9.1	5.3	9.8
1810063B07Rik	1.7	1.2	2.5	1.3	1.8	5.9	7.3
1810074P20Rik	12.8	4.2	8.9	6.2	2.6	2.8	7
2010002N04Rik	15.4	0.8	4.1	0.9	2.3	31.6	2.3
2010007H12Rik	6	6.6	8.7	7.8	6.7	7.9	8
2010011I20Rik	15.3	10.7	3.1	0.5	0.8	4.4	8.6
2010012O05Rik	5.7	9.4	8	5.7	3.5	3.1	4.2
2010015L04Rik	1.1	1.9	1.9	0.6	0.3	5.3	0.1
2010106G01Rik	15.4	7.4	22.9	11.7	3.8	7.5	25.9
2010107E04Rik	54.9	102.7	106	99.8	116.9	86.9	206.1
2010107G23Rik	0.3	10.1	4.4	1.9	0.8	0.4	0.3
2010107H07Rik	3.5	4.5	10.3	8.2	4.6	11.6	8.2
2010109K11Rik	2.3	3.3	3.9	2.3	1.5	1.8	3.3
2010110P09Rik	0.4	0.1	0.3	0.1	0.1	1	9.3
2010111I01Rik	0.7	1.7	1.3	1.9	1.4	2.3	4.6
2010300C02Rik	0.1	1.6	2.6	0.5	0.9	1	1.8
2010305A19Rik	1.8	2.8	1.8	0.9	1.1	2	4.5
2010317E24Rik	4.9	1.3	30.7	4.2	0.2	0.2	0.6
2010320M18Rik	4.6	4.9	5.7	3.9	3.9	4.1	10.2
2010321M09Rik	7.3	4.2	16.3	13.3	6.8	5.7	9.5
2200002K05Rik	0.1	4.8	6.1	1.1	0.1	0.1	0.1
2210013O21Rik	8.7	29.9	18.4	18.9	21	10.4	37.7
2210015D19Rik	3.9	2.9	4.9	4.7	6.1	3.4	3.6
2210016F16Rik	1.6	2.5	3.4	2.5	1.7	8.9	1.3
2210016L21Rik	7.7	35.8	20.9	13.4	15.1	7.2	11.7
2210018M11Rik	9.9	4	6.5	4.2	1.7	1.5	4.3
