geneID	chr	start	end	total_exons	exon_changes	original_name
22307	Mc671	1357	21488	37	10	Mca22307
16239	Mc4147	993	21032	11	9	Mca16239
11202	Mc2385	18286	31755	9	7	Mca11202
22735	Mc6928	4662	8498	8	7	Mca22735
2319	Mc11281	10535	13308	10	7	Mca02319
1056	Mc1054	42917	47376	10	6	Mca01056
12616	Mc2842	27049	29908	9	6	Mca12616
26363	Mc8727	4918	13634	9	5	Mca26363
5018	Mc1302	33849	42791	14	5	Mca05018
6437	Mc13965	2804	5268	7	5	Mca06437
10218	Mc2082	9363	27517	10	4	Mca10218
13137	Mc300	30677	49676	8	4	Mca13137
1668	Mc109	59467	73115	5	4	Mca01668
18305	Mc4986	5076	15292	15	4	Mca18305
19140	Mc5316	14052	15018	5	4	Mca19140
22154	Mc6632	3375	7968	9	4	Mca22154
22496	Mc6805	1630	10565	7	4	Mca22496
23515	Mc7319	6351	12743	11	4	Mca23515
25150	Mc8115	1480	8145	11	4	Mca25150
4356	Mc12609	1794	4075	4	4	Mca04356
6667	Mc14109	3556	5386	5	4	Mca06667
6949	Mc1430	50297	56714	5	4	Mca06949
11449	Mc2456	7349	22473	23	3	Mca11449
12389	Mc2766	13429	29150	29	3	Mca12389
15133	Mc3709	7263	27178	4	3	Mca15133
16961	Mc4431	24179	26647	5	3	Mca16961
18349	Mc50	39413	90578	26	3	Mca18349
18443	Mc5039	3562	14196	6	3	Mca18443
20065	Mc5711	7094	18022	4	3	Mca20065
20608	Mc5945	3939	8286	7	3	Mca20608
21001	Mc6113	24111	37098	24	3	Mca21001
21367	Mc6272	14339	15900	5	3	Mca21367
21841	Mc6486	4675	11555	6	3	Mca21841
23105	Mc7101	10394	13702	6	3	Mca23105
23837	Mc746	3573	7168	5	3	Mca23837
24262	Mc7664	2631	16571	10	3	Mca24262
24597	Mc7835	6972	10090	5	3	Mca24597
3688	Mc1216	10000	19024	9	3	Mca03688
3920	Mc1230	42965	45190	11	3	Mca03920
7566	Mc1474	48649	65041	15	3	Mca07566
7685	Mc14835	1672	6286	9	3	Mca07685
10172	Mc2067	8229	22953	3	2	Mca10172
10267	Mc2097	6013	6536	2	2	Mca10267
10643	Mc2213	4669	10887	5	2	Mca10643
11267	Mc240	41153	51526	14	2	Mca11267
11639	Mc2515	6730	12687	3	2	Mca11639
12586	Mc2832	25736	30115	8	2	Mca12586
12615	Mc2842	26294	26828	2	2	Mca12615
12705	Mc2871	5040	12933	9	2	Mca12705
12775	Mc2892	22974	32689	3	2	Mca12775
12886	Mc2920	27955	29139	3	2	Mca12886
14103	Mc3345	26796	47445	27	2	Mca14103
14119	Mc3352	2323	7269	14	2	Mca14119
14278	Mc3407	7651	19486	12	2	Mca14278
14736	Mc3559	14323	17048	2	2	Mca14736
14852	Mc3590	17489	21987	5	2	Mca14852
15400	Mc3809	5191	36576	15	2	Mca15400
15438	Mc382	63266	77592	35	2	Mca15438
17770	Mc4757	6109	8547	2	2	Mca17770
17871	Mc4797	4497	11836	8	2	Mca17871
17894	Mc4807	9652	9995	2	2	Mca17894
17944	Mc483	23962	39160	7	2	Mca17944
1818	Mc10995	667	3499	5	2	Mca01818
18643	Mc511	1496	12981	2	2	Mca18643
18740	Mc5140	2465	9072	8	2	Mca18740
18795	Mc516	48484	50527	7	2	Mca18795
19914	Mc5640	2475	14282	32	2	Mca19914
20679	Mc5994	1339	3189	3	2	Mca20679
20681	Mc5994	4367	5684	2	2	Mca20681
21133	Mc6176	13385	15227	3	2	Mca21133
22687	Mc690	19616	27155	12	2	Mca22687
22902	Mc7	5860	14974	10	2	Mca22902
23491	Mc7308	9525	10375	2	2	Mca23491
23891	Mc748	35250	50506	10	2	Mca23891
2414	Mc11336	4559	8155	12	2	Mca02414
24216	Mc764	43323	59871	21	2	Mca24216
24398	Mc7734	5102	9369	12	2	Mca24398
24554	Mc7810	7334	10870	9	2	Mca24554
25650	Mc8359	195	5866	5	2	Mca25650
25821	Mc846	39570	44202	10	2	Mca25821
26348	Mc872	18877	29499	22	2	Mca26348
26751	Mc8936	2559	6321	5	2	Mca26751
3275	Mc119	70063	80232	3	2	Mca03275
4451	Mc12663	4433	8038	12	2	Mca04451
5750	Mc135	32680	46405	13	2	Mca05750
6436	Mc13965	1392	2454	5	2	Mca06436
7383	Mc1461	13148	16109	8	2	Mca07383
756	Mc10381	7403	8385	2	2	Mca00756
8409	Mc1555	14331	23888	5	2	Mca08409
9229	Mc1784	424	4512	6	2	Mca09229
10091	Mc2034	13801	16089	6	1	Mca10091
10130	Mc2052	8685	16242	15	1	Mca10130
10182	Mc2070	25049	29669	12	1	Mca10182
10282	Mc210	79821	84029	4	1	Mca10282
10323	Mc2109	17452	27214	9	1	Mca10323
10518	Mc2169	29866	31781	5	1	Mca10518
10614	Mc2205	11055	22187	7	1	Mca10614
10616	Mc2205	31300	34099	5	1	Mca10616
10640	Mc2212	9881	17579	10	1	Mca10640
10681	Mc222	80959	83253	6	1	Mca10681
10742	Mc224	81449	86282	11	1	Mca10742
11053	Mc2339	21745	29925	21	1	Mca11053
11384	Mc2432	12309	15527	6	1	Mca11384
11411	Mc2441	18675	20522	4	1	Mca11411
11488	Mc2467	18660	35875	5	1	Mca11488
11491	Mc2469	714	5312	14	1	Mca11491
11620	Mc2508	14263	20329	18	1	Mca11620
11737	Mc2551	15749	18911	7	1	Mca11737
11791	Mc2566	19416	31244	5	1	Mca11791
11813	Mc2573	22814	28040	6	1	Mca11813
11976	Mc2629	5202	7611	7	1	Mca11976
12153	Mc2691	12867	18361	10	1	Mca12153
12394	Mc2768	6126	22810	10	1	Mca12394
12438	Mc278	54403	64362	14	1	Mca12438
12721	Mc2877	7904	10041	3	1	Mca12721
12811	Mc2906	418	10669	13	1	Mca12811
12852	Mc2914	16718	19928	4	1	Mca12852
12861	Mc2917	4670	11956	14	1	Mca12861
12889	Mc2922	640	4526	7	1	Mca12889
12936	Mc2944	6405	12242	6	1	Mca12936
1300	Mc10693	1706	3140	6	1	Mca01300
13009	Mc296	60545	65116	7	1	Mca13009
13301	Mc3057	21073	27111	18	1	Mca13301
13382	Mc3092	1619	6637	8	1	Mca13382
1364	Mc10722	4667	7717	10	1	Mca01364
13681	Mc3198	1337	2692	5	1	Mca13681
13865	Mc3253	6889	11919	13	1	Mca13865
14033	Mc3320	8540	42119	10	1	Mca14033
14060	Mc3334	13033	26775	30	1	Mca14060
14061	Mc3335	2782	7227	10	1	Mca14061
1409	Mc10754	418	2143	5	1	Mca01409
14313	Mc3416	16809	19757	11	1	Mca14313
14572	Mc3506	5452	14898	8	1	Mca14572
14655	Mc3538	8438	10157	6	1	Mca14655
14933	Mc3629	10775	17932	7	1	Mca14933
15036	Mc367	54123	67490	37	1	Mca15036
15324	Mc378	5824	12537	3	1	Mca15324
15905	Mc4013	1143	11723	14	1	Mca15905
16246	Mc415	57684	67013	6	1	Mca16246
1630	Mc1088	27028	43604	11	1	Mca01630
16301	Mc4171	5023	17458	13	1	Mca16301
16317	Mc418	13403	25996	10	1	Mca16317
16429	Mc4223	12673	14981	5	1	Mca16429
16807	Mc4379	17188	20752	5	1	Mca16807
16932	Mc4420	12338	18698	9	1	Mca16932
17114	Mc4494	3364	8320	8	1	Mca17114
17299	Mc4568	4184	8755	6	1	Mca17299
17310	Mc4570	9663	14037	3	1	Mca17310
17389	Mc4601	17973	20473	10	1	Mca17389
17435	Mc4624	1337	8235	9	1	Mca17435
17556	Mc4664	1115	17682	36	1	Mca17556
